Toxicant,Mean Response,SD,Highly Susceptible Strains,Minimally Susceptible Strains
Mercury,4.84256965590387,70.0528674962311,"CX11276, CX11314, ECA396, JU4047, MY16, PX179, QG2837, QG4080, WN2064","JU1934, MY1, QG2818"
Aldicarb,-5.48069534679785,66.8955110996989,"ECA1069, ECA2602, ECA2603, ECA2615, LKC34, MY2453, QG4003, QG4008, QG4018",JU3291
Nickel,4.08997990215324,64.5529867163247,"DL238, JU1212, JU2131, JU2587, JU3144, NIC1794, NIC1809, PB306, WN2001","JU1491, RC301"
Chlorfenapyr,-3.23816143792962,57.5317008232736,JU2587,"ECA2601, ECA36, ECA396, JU1249, XZ1516"
Methomyl,9.30914167690872,49.9834762191599,"","CX11271, WN2001"
Carboxin,-2.34575223270257,47.4918357609118,"ECA396, JU2592, JU3132, MY2453, QG2837, WN2066, WN2086",""
Copper,1.56509946618644,42.9320597169338,"BRC20263, EG4349, JU1212, JU2522, JU4047, QG2855","JU3132, MY1, NIC256"
Malathion,-0.961847239793945,41.5336178680084,"ECA2549, NIC256","ECA36, JU2464, MY1, QG2874, QG4228, XZ1516"
Carbaryl,-0.0215814941712993,41.3518761645487,"ECA2659, ECA2660, ECA396, JU1792, JU3132, JU323, JU774, NIC1786, QG2837","JU2464, QG4228"
Paraquat 62.5 µM,-4.40347057181205,40.8606407299267,"JU258, JU3132, NIC1810, NIC259, QG2873","JU2906, JU3291, NIC526"
Cadmium,0.590125513679717,40.8316675374654,"AB1, JU2587, JU346, PX179","DL238, ECA36, JU3132, MY772, WN2082"
TPhP 50 µM,0.953639911324413,37.8710191715565,"ECA2561, ECA2595, ECA594, QG4135","ECA2601, ECA923, ED3049"
Arsenic,1.51754432587174,37.8236976208407,"ECA2607, JU2565, NIC1786, NIC1811, PX179",""
"2,4-D",0.297240680893413,34.3048980040383,"ECA2601, JU1568, JU778, QG2854","DL238, ECA2607, JU3132, MY2530, MY2535, QG2818"
Chlorpyrifos,3.23510414151989,31.316415820647,"ECA2561, ECA2595, NIC1794, NIC256","CX11271, JU774, MY1, TWN2530, XZ1516"
Silver 250 µM,4.762872938844,30.9542099501434,ECA594,"JU1395, JU2592, JU2866, MY772, WN2082"
Atrazine,-0.449564132208348,30.1418764523697,"ECA2660, JU1491, JU3132, JU3144, QG2837",QG4228
Pyraclostrobin,2.87245923634161,29.7244082551688,"CX11276, ECA2554, ECA36, ECA396, JU2587, XZ2018","ECA923, JU2570, XZ1516"
Paraquat 250 µM,3.5612305407088,28.823154147461,"ECA2656, ECA594, NIC1810, NIC1812, QG2828","JU2576, JU2866, JU310, MY2535, WN2066"
TPhP 6.25 µM,0.6332388139579,25.1791821639184,"ECA2561, ECA594, JU2838, JU3224, MY16, XZ2018","ED3049, JU367, MY1, NIC1812"
Chlorothalonil,-0.192007455920102,23.6397289158149,"CX11276, ECA2554, NIC1786, NIC1794, PX179","CX11271, DL238, JU1213"
Mancozeb,2.10751094136049,20.0326672994109,"ECA2561, ECA2595, ECA396, NIC1794, NIC1810, QG4135","JU2906, MY2530"
Lead,0.278492362232,19.8697371921976,"JU258, NIC1786","JU2879, QG4228"
Zinc,-0.410868990416501,18.8228656570518,"ECA1069, ECA1074, ECA396, JU3144, MY679, MY920, NIC166, QG4135",JU1172
Propoxur,0.0163981092352331,18.4590721593119,"ECA2546, JU1491, JU778, NIC1786, NIC1794, NIC1799","JU2464, JU2522, JU4098, NIC252, QG4228"
Silver 7.8 µM,0.300727690818526,18.0204279621692,"JU1792, JU258, NIC1049, NIC1794, NIC262","QG2837, QG2874, QG4228"
